Topic,Pillar,Impact_Operations,Impact_Sustainability,Stakeholder_Concern
Climate and Energy,E,9.2,9.5,10.0
Sustainable Supply Chain,E,9.0,8.6,8.5
Innovation Management,G,8.5,8.4,8.0
Circular Resources,E,7.8,8.5,7.5
Business and Human Rights,S,7.5,8.7,5.5
Talent Attraction and Retention,S,8.7,7.5,4.5
Water Management,E,7.0,7.8,7.0
Information Security,G,7.5,6.5,6.5
Occupational Health and Safety,S,6.5,7.2,6.0
Diversity and Inclusion,S,5.5,6.8,5.5
Ethics and Compliance,G,7.2,6.0,6.0
Community Investment,S,4.5,5.5,4.0
Risk Management,G,6.8,5.5,5.5
Air Pollution,E,5.5,6.2,5.0
Customer Relationship Management,G,6.0,5.0,4.5
