Year	BAU	NetZero	ProposedActions
2019	14076643	14076643	14076643
2020	14976183	14976183	14976183
2021	16353690	16353690	16353690
2022	18987712	18987712	18987712
2023	19400073	19400073	19400073
2024	21006442	21006442	21006442
2025	22847177	20198502	21006442
2026	24875220	19390562	19800390
2027	27108983	18582622	18594338
2028	29568710	17774682	17388287
2029	32276659	16966742	16182235
2030	35257307	16158802	14976183
2031	38537569	15350861	13854381
2032	42147039	14542921	12732579
2033	46118261	13734981	11610777
2034	50487022	12927041	10488975
2035	55292673	12119101	9367173
2036	60578490	11311161	8245371
2037	66392064	10503221	7123569
2038	72785729	9695281	6001767
2039	79817043	8887341	4879965
2040	87549302	8079401	3758164
2041	96052120	7271461	3382347
2042	105402061	6463521	3006531
2043	115683330	5655581	2630714
2044	126988542	4847640	2254898
2045	139419561	4039700	1879082
2046	153088429	3231760	1503265
2047	168118385	2423820	1127449
2048	184644985	1615880	751633
2049	202817340	807940	375816
2050	222799470	0	0
